OID,Name,NCI Codelist Code,Data Type,Rank,Order,Term,NCI Term Code,Decoded Value,Comment,IsNonStandard,StandardOID
CL.ADLBHPV.AVISITN,Analysis Visit (N) (ADLBHPV),,integer,,,8,,Week 8,,Yes,
CL.ADLBHPV.AVISITN,Analysis Visit (N) (ADLBHPV),,integer,,,12,,Week 12,,Yes,
CL.ADLBHPV.AVISITN,Analysis Visit (N) (ADLBHPV),,integer,,,16,,Week 16,,Yes,
CL.ADLBHPV.AVISITN,Analysis Visit (N) (ADLBHPV),,integer,,,20,,Week 20,,Yes,
CL.ADLBHPV.AVISITN,Analysis Visit (N) (ADLBHPV),,integer,,,24,,Week 24,,Yes,
CL.ADLBHPV.AVISITN,Analysis Visit (N) (ADLBHPV),,integer,,,26,,Week 26,,Yes,
CL.ADLBHPV.AVISITN,Analysis Visit (N) (ADLBHPV),,integer,,,99,,End of Treatment,,Yes,
CL.ADLBHPV.VISIT,Visit (ADLBHPV),,text,,1,SCREENING 1,,,,Yes,
CL.ADLBHPV.VISIT,Visit (ADLBHPV),,text,,2,UNSCHEDULED 1.1,,,,Yes,
CL.ADLBHPV.VISIT,Visit (ADLBHPV),,text,,3,UNSCHEDULED 1.2,,,,Yes,
CL.ADLBHPV.VISIT,Visit (ADLBHPV),,text,,4,UNSCHEDULED 1.3,,,,Yes,
CL.ADLBHPV.VISIT,Visit (ADLBHPV),,text,,5,WEEK 2,,,,Yes,
CL.ADLBHPV.VISIT,Visit (ADLBHPV),,text,,6,UNSCHEDULED 4.1,,,,Yes,
CL.ADLBHPV.VISIT,Visit (ADLBHPV),,text,,7,WEEK 4,,,,Yes,
CL.ADLBHPV.VISIT,Visit (ADLBHPV),,text,,8,UNSCHEDULED 5.1,,,,Yes,
CL.ADLBHPV.VISIT,Visit (ADLBHPV),,text,,9,WEEK 6,,,,Yes,
CL.ADLBHPV.VISIT,Visit (ADLBHPV),,text,,10,UNSCHEDULED 7.1,,,,Yes,
CL.ADLBHPV.VISIT,Visit (ADLBHPV),,text,,11,WEEK 8,,,,Yes,
CL.ADLBHPV.VISIT,Visit (ADLBHPV),,text,,12,UNSCHEDULED 8.2,,,,Yes,
CL.ADLBHPV.VISIT,Visit (ADLBHPV),,text,,13,WEEK 12,,,,Yes,
CL.ADLBHPV.VISIT,Visit (ADLBHPV),,text,,14,UNSCHEDULED 9.2,,,,Yes,
CL.ADLBHPV.VISIT,Visit (ADLBHPV),,text,,15,WEEK 16,,,,Yes,
CL.ADLBHPV.VISIT,Visit (ADLBHPV),,text,,16,WEEK 20,,,,Yes,
CL.ADLBHPV.VISIT,Visit (ADLBHPV),,text,,17,WEEK 24,,,,Yes,
CL.ADLBHPV.VISIT,Visit (ADLBHPV),,text,,18,UNSCHEDULED 12.1,,,,Yes,
CL.ADLBHPV.VISIT,Visit (ADLBHPV),,text,,19,WEEK 26,,,,Yes,
CL.ADLBHPV.VISITNUM,Visit (N) (ADLBHPV),,float,,,1,,SCREENING 1,,Yes,
CL.ADLBHPV.VISITNUM,Visit (N) (ADLBHPV),,float,,,1.1,,UNSCHEDULED 1.1,,Yes,
CL.ADLBHPV.VISITNUM,Visit (N) (ADLBHPV),,float,,,1.2,,UNSCHEDULED 1.2,,Yes,
CL.ADLBHPV.VISITNUM,Visit (N) (ADLBHPV),,float,,,1.3,,UNSCHEDULED 1.3,,Yes,
CL.ADLBHPV.VISITNUM,Visit (N) (ADLBHPV),,float,,,4,,WEEK 2,,Yes,
CL.ADLBHPV.VISITNUM,Visit (N) (ADLBHPV),,float,,,4.1,,UNSCHEDULED 4.1,,Yes,
CL.ADLBHPV.VISITNUM,Visit (N) (ADLBHPV),,float,,,5,,WEEK 4,,Yes,
CL.ADLBHPV.VISITNUM,Visit (N) (ADLBHPV),,float,,,5.1,,UNSCHEDULED 5.1,,Yes,
CL.ADLBHPV.VISITNUM,Visit (N) (ADLBHPV),,float,,,7,,WEEK 6,,Yes,
CL.ADLBHPV.VISITNUM,Visit (N) (ADLBHPV),,float,,,7.1,,UNSCHEDULED 7.1,,Yes,
CL.ADLBHPV.VISITNUM,Visit (N) (ADLBHPV),,float,,,8,,WEEK 8,,Yes,
CL.ADLBHPV.VISITNUM,Visit (N) (ADLBHPV),,float,,,8.2,,UNSCHEDULED 8.2,,Yes,
CL.ADLBHPV.VISITNUM,Visit (N) (ADLBHPV),,float,,,9,,WEEK 12,,Yes,
CL.ADLBHPV.VISITNUM,Visit (N) (ADLBHPV),,float,,,9.2,,UNSCHEDULED 9.2,,Yes,
CL.ADLBHPV.VISITNUM,Visit (N) (ADLBHPV),,float,,,10,,WEEK 16,,Yes,
CL.ADLBHPV.VISITNUM,Visit (N) (ADLBHPV),,float,,,11,,WEEK 20,,Yes,
CL.ADLBHPV.VISITNUM,Visit (N) (ADLBHPV),,float,,,12,,WEEK 24,,Yes,
CL.ADLBHPV.VISITNUM,Visit (N) (ADLBHPV),,float,,,12.1,,UNSCHEDULED 12.1,,Yes,
CL.ADLBHPV.VISITNUM,Visit (N) (ADLBHPV),,float,,,13,,WEEK 26,,Yes,
CL.ADLBHY.AVISIT,Analysis Visit (ADLBHY),,text,,,Baseline,,,,Yes,
CL.ADLBHY.AVISIT,Analysis Visit (ADLBHY),,text,,2,Week 2,,,,Yes,
CL.ADLBHY.AVISIT,Analysis Visit (ADLBHY),,text,,4,Week 4,,,,Yes,
CL.ADLBHY.AVISIT,Analysis Visit (ADLBHY),,text,,6,Week 6,,,,Yes,
CL.ADLBHY.AVISIT,Analysis Visit (ADLBHY),,text,,8,Week 8,,,,Yes,
CL.ADLBHY.AVISIT,Analysis Visit (ADLBHY),,text,,12,Week 12,,,,Yes,
CL.ADLBHY.AVISIT,Analysis Visit (ADLBHY),,text,,16,Week 16,,,,Yes,
CL.ADLBHY.AVISIT,Analysis Visit (ADLBHY),,text,,20,Week 20,,,,Yes,
CL.ADLBHY.AVISIT,Analysis Visit (ADLBHY),,text,,24,Week 24,,,,Yes,
CL.ADLBHY.AVISITN,Analysis Visit (N) (ADLBHY),,integer,,,0,,Baseline,,Yes,
CL.ADLBHY.AVISITN,Analysis Visit (N) (ADLBHY),,integer,,,2,,Week 2,,Yes,
CL.ADLBHY.AVISITN,Analysis Visit (N) (ADLBHY),,integer,,,4,,Week 4,,Yes,
CL.ADLBHY.AVISITN,Analysis Visit (N) (ADLBHY),,integer,,,6,,Week 6,,Yes,
CL.ADLBHY.AVISITN,Analysis Visit (N) (ADLBHY),,integer,,,8,,Week 8,,Yes,
CL.ADLBHY.AVISITN,Analysis Visit (N) (ADLBHY),,integer,,,12,,Week 12,,Yes,
CL.ADLBHY.AVISITN,Analysis Visit (N) (ADLBHY),,integer,,,16,,Week 16,,Yes,
CL.ADLBHY.AVISITN,Analysis Visit (N) (ADLBHY),,integer,,,20,,Week 20,,Yes,
CL.ADLBHY.AVISITN,Analysis Visit (N) (ADLBHY),,integer,,,24,,Week 24,,Yes,
CL.ADLBHY.VISIT,Visit (ADLBHY),,text,,1,SCREENING 1,,,,Yes,
CL.ADLBHY.VISIT,Visit (ADLBHY),,text,,4,WEEK 2,,,,Yes,
CL.ADLBHY.VISIT,Visit (ADLBHY),,text,,5,WEEK 4,,,,Yes,
CL.ADLBHY.VISIT,Visit (ADLBHY),,text,,7,WEEK 6,,,,Yes,
CL.ADLBHY.VISIT,Visit (ADLBHY),,text,,8,WEEK 8,,,,Yes,
CL.ADLBHY.VISIT,Visit (ADLBHY),,text,,9,WEEK 12,,,,Yes,
CL.ADLBHY.VISIT,Visit (ADLBHY),,text,,10,WEEK 16,,,,Yes,
CL.ADLBHY.VISIT,Visit (ADLBHY),,text,,11,WEEK 20,,,,Yes,
CL.ADLBHY.VISIT,Visit (ADLBHY),,text,,12,WEEK 24,,,,Yes,
CL.ADLBHY.VISITNUM,Visit (N) (ADLBHY),,integer,,,1,,SCREENING 1,,Yes,
CL.ADLBHY.VISITNUM,Visit (N) (ADLBHY),,integer,,,4,,WEEK 2,,Yes,
CL.ADLBHY.VISITNUM,Visit (N) (ADLBHY),,integer,,,5,,WEEK 4,,Yes,
CL.ADLBHY.VISITNUM,Visit (N) (ADLBHY),,integer,,,7,,WEEK 6,,Yes,
CL.ADLBHY.VISITNUM,Visit (N) (ADLBHY),,integer,,,8,,WEEK 8,,Yes,
CL.ADLBHY.VISITNUM,Visit (N) (ADLBHY),,integer,,,9,,WEEK 12,,Yes,
CL.ADLBHY.VISITNUM,Visit (N) (ADLBHY),,integer,,,10,,WEEK 16,,Yes,
CL.ADLBHY.VISITNUM,Visit (N) (ADLBHY),,integer,,,11,,WEEK 20,,Yes,
CL.ADLBHY.VISITNUM,Visit (N) (ADLBHY),,integer,,,12,,WEEK 24,,Yes,
CL.ADNPIX.AVISIT,Analysis Visit (ADNPIX),,text,,,Baseline,,,,Yes,
CL.ADNPIX.AVISIT,Analysis Visit (ADNPIX),,text,,2,Week 2,,,,Yes,
CL.ADNPIX.AVISIT,Analysis Visit (ADNPIX),,text,,4,Week 4,,,,Yes,
CL.ADNPIX.AVISIT,Analysis Visit (ADNPIX),,text,,6,Week 6,,,,Yes,
CL.ADNPIX.AVISIT,Analysis Visit (ADNPIX),,text,,8,Week 8,,,,Yes,
CL.ADNPIX.AVISIT,Analysis Visit (ADNPIX),,text,,10,Week 10,,,,Yes,
CL.ADNPIX.AVISIT,Analysis Visit (ADNPIX),,text,,12,Week 12,,,,Yes,
CL.ADNPIX.AVISIT,Analysis Visit (ADNPIX),,text,,14,Week 14,,,,Yes,
CL.ADNPIX.AVISIT,Analysis Visit (ADNPIX),,text,,16,Week 16,,,,Yes,
CL.ADNPIX.AVISIT,Analysis Visit (ADNPIX),,text,,18,Week 18,,,,Yes,
CL.ADNPIX.AVISIT,Analysis Visit (ADNPIX),,text,,20,Week 20,,,,Yes,
CL.ADNPIX.AVISIT,Analysis Visit (ADNPIX),,text,,22,Week 22,,,,Yes,
CL.ADNPIX.AVISIT,Analysis Visit (ADNPIX),,text,,24,Week 24,,,,Yes,
CL.ADNPIX.AVISIT,Analysis Visit (ADNPIX),,text,,26,Week 26,,,,Yes,
CL.ADNPIX.AVISIT,Analysis Visit (ADNPIX),,text,,98,Weeks 4-24,,,,Yes,
CL.ADNPIX.AVISITN,Analysis Visit (N) (ADNPIX),,integer,,,0,,Baseline,,Yes,
CL.ADNPIX.AVISITN,Analysis Visit (N) (ADNPIX),,integer,,,2,,Week 2,,Yes,
CL.ADNPIX.AVISITN,Analysis Visit (N) (ADNPIX),,integer,,,4,,Week 4,,Yes,
CL.ADNPIX.AVISITN,Analysis Visit (N) (ADNPIX),,integer,,,6,,Week 6,,Yes,
CL.ADNPIX.AVISITN,Analysis Visit (N) (ADNPIX),,integer,,,8,,Week 8,,Yes,
CL.ADNPIX.AVISITN,Analysis Visit (N) (ADNPIX),,integer,,,10,,Week 10,,Yes,
CL.ADNPIX.AVISITN,Analysis Visit (N) (ADNPIX),,integer,,,12,,Week 12,,Yes,
CL.ADNPIX.AVISITN,Analysis Visit (N) (ADNPIX),,integer,,,14,,Week 14,,Yes,
CL.ADNPIX.AVISITN,Analysis Visit (N) (ADNPIX),,integer,,,16,,Week 16,,Yes,
CL.ADNPIX.AVISITN,Analysis Visit (N) (ADNPIX),,integer,,,18,,Week 18,,Yes,
CL.ADNPIX.AVISITN,Analysis Visit (N) (ADNPIX),,integer,,,20,,Week 20,,Yes,
CL.ADNPIX.AVISITN,Analysis Visit (N) (ADNPIX),,integer,,,22,,Week 22,,Yes,
CL.ADNPIX.AVISITN,Analysis Visit (N) (ADNPIX),,integer,,,24,,Week 24,,Yes,
CL.ADNPIX.AVISITN,Analysis Visit (N) (ADNPIX),,integer,,,26,,Week 26,,Yes,
CL.ADNPIX.AVISITN,Analysis Visit (N) (ADNPIX),,integer,,,98,,Weeks 4-24,,Yes,
CL.ADNPIX.VISIT,Visit (ADNPIX),,text,,3,BASELINE,,,,Yes,
CL.ADNPIX.VISIT,Visit (ADNPIX),,text,,4,WEEK 2,,,,Yes,
CL.ADNPIX.VISIT,Visit (ADNPIX),,text,,5,WEEK 4,,,,Yes,
CL.ADNPIX.VISIT,Visit (ADNPIX),,text,,6,AMBUL ECG REMOVAL,,,,Yes,
CL.ADNPIX.VISIT,Visit (ADNPIX),,text,,7,WEEK 6,,,,Yes,
CL.ADNPIX.VISIT,Visit (ADNPIX),,text,,8,WEEK 8,,,,Yes,
CL.ADNPIX.VISIT,Visit (ADNPIX),,text,,9,WEEK 10 (T),,,,Yes,
CL.ADNPIX.VISIT,Visit (ADNPIX),,text,,10,WEEK 12,,,,Yes,
CL.ADNPIX.VISIT,Visit (ADNPIX),,text,,11,WEEK 14 (T),,,,Yes,
CL.ADNPIX.VISIT,Visit (ADNPIX),,text,,12,WEEK 16,,,,Yes,
CL.ADNPIX.VISIT,Visit (ADNPIX),,text,,13,WEEK 18 (T),,,,Yes,
CL.ADNPIX.VISIT,Visit (ADNPIX),,text,,14,WEEK 20,,,,Yes,
CL.ADNPIX.VISIT,Visit (ADNPIX),,text,,15,WEEK 22 (T),,,,Yes,
CL.ADNPIX.VISIT,Visit (ADNPIX),,text,,16,WEEK 24,,,,Yes,
CL.ADNPIX.VISIT,Visit (ADNPIX),,text,,17,WEEK 26,,,,Yes,
CL.ADNPIX.VISIT,Visit (ADNPIX),,text,,201,RETRIEVAL,,,,Yes,
CL.ADNPIX.VISITNUM,Visit (N) (ADNPIX),,float,,,3,,BASELINE,,Yes,
CL.ADNPIX.VISITNUM,Visit (N) (ADNPIX),,float,,,4,,WEEK 2,,Yes,
CL.ADNPIX.VISITNUM,Visit (N) (ADNPIX),,float,,,5,,WEEK 4,,Yes,
CL.ADNPIX.VISITNUM,Visit (N) (ADNPIX),,float,,,6,,AMBUL ECG REMOVAL,,Yes,
CL.ADNPIX.VISITNUM,Visit (N) (ADNPIX),,float,,,7,,WEEK 6,,Yes,
CL.ADNPIX.VISITNUM,Visit (N) (ADNPIX),,float,,,8,,WEEK 8,,Yes,
CL.ADNPIX.VISITNUM,Visit (N) (ADNPIX),,float,,,8.1,,WEEK 10 (T),,Yes,
CL.ADNPIX.VISITNUM,Visit (N) (ADNPIX),,float,,,9,,WEEK 12,,Yes,
CL.ADNPIX.VISITNUM,Visit (N) (ADNPIX),,float,,,9.1,,WEEK 14 (T),,Yes,
CL.ADNPIX.VISITNUM,Visit (N) (ADNPIX),,float,,,10,,WEEK 16,,Yes,
CL.ADNPIX.VISITNUM,Visit (N) (ADNPIX),,float,,,10.1,,WEEK 18 (T),,Yes,
CL.ADNPIX.VISITNUM,Visit (N) (ADNPIX),,float,,,11,,WEEK 20,,Yes,
CL.ADNPIX.VISITNUM,Visit (N) (ADNPIX),,float,,,11.1,,WEEK 22 (T),,Yes,
CL.ADNPIX.VISITNUM,Visit (N) (ADNPIX),,float,,,12,,WEEK 24,,Yes,
CL.ADNPIX.VISITNUM,Visit (N) (ADNPIX),,float,,,13,,WEEK 26,,Yes,
CL.ADNPIX.VISITNUM,Visit (N) (ADNPIX),,float,,,201,,RETRIEVAL,,Yes,
CL.ADVS.ATPT,Analysis Timepoint (ADVS),,text,,815,AFTER LYING DOWN FOR 5 MINUTES,,,,Yes,
CL.ADVS.ATPT,Analysis Timepoint (ADVS),,text,,816,AFTER STANDING FOR 1 MINUTE,,,,Yes,
CL.ADVS.ATPT,Analysis Timepoint (ADVS),,text,,817,AFTER STANDING FOR 3 MINUTES,,,,Yes,
CL.ADVS.ATPTN,Analysis Timepoint (N) (ADVS),,integer,,,815,,AFTER LYING DOWN FOR 5 MINUTES,,Yes,
CL.ADVS.ATPTN,Analysis Timepoint (N) (ADVS),,integer,,,816,,AFTER STANDING FOR 1 MINUTE,,Yes,
CL.ADVS.ATPTN,Analysis Timepoint (N) (ADVS),,integer,,,817,,AFTER STANDING FOR 3 MINUTES,,Yes,
CL.ADVS.AVISIT,Analysis Visit (ADVS),,text,,,Baseline,,,,Yes,
CL.ADVS.AVISIT,Analysis Visit (ADVS),,text,,2,Week 2,,,,Yes,
CL.ADVS.AVISIT,Analysis Visit (ADVS),,text,,4,Week 4,,,,Yes,
CL.ADVS.AVISIT,Analysis Visit (ADVS),,text,,6,Week 6,,,,Yes,
CL.ADVS.AVISIT,Analysis Visit (ADVS),,text,,8,Week 8,,,,Yes,
CL.ADVS.AVISIT,Analysis Visit (ADVS),,text,,12,Week 12,,,,Yes,
CL.ADVS.AVISIT,Analysis Visit (ADVS),,text,,16,Week 16,,,,Yes,
CL.ADVS.AVISIT,Analysis Visit (ADVS),,text,,20,Week 20,,,,Yes,
CL.ADVS.AVISIT,Analysis Visit (ADVS),,text,,24,Week 24,,,,Yes,
CL.ADVS.AVISIT,Analysis Visit (ADVS),,text,,26,Week 26,,,,Yes,
CL.ADVS.AVISIT,Analysis Visit (ADVS),,text,,99,End of Treatment,,,,Yes,
CL.ADVS.AVISITN,Analysis Visit (N) (ADVS),,integer,,,0,,Baseline,,Yes,
CL.ADVS.AVISITN,Analysis Visit (N) (ADVS),,integer,,,2,,Week 2,,Yes,
CL.ADVS.AVISITN,Analysis Visit (N) (ADVS),,integer,,,4,,Week 4,,Yes,
CL.ADVS.AVISITN,Analysis Visit (N) (ADVS),,integer,,,6,,Week 6,,Yes,
CL.ADVS.AVISITN,Analysis Visit (N) (ADVS),,integer,,,8,,Week 8,,Yes,
CL.ADVS.AVISITN,Analysis Visit (N) (ADVS),,integer,,,12,,Week 12,,Yes,
CL.ADVS.AVISITN,Analysis Visit (N) (ADVS),,integer,,,16,,Week 16,,Yes,
CL.ADVS.AVISITN,Analysis Visit (N) (ADVS),,integer,,,20,,Week 20,,Yes,
CL.ADVS.AVISITN,Analysis Visit (N) (ADVS),,integer,,,24,,Week 24,,Yes,
CL.ADVS.AVISITN,Analysis Visit (N) (ADVS),,integer,,,26,,Week 26,,Yes,
CL.ADVS.AVISITN,Analysis Visit (N) (ADVS),,integer,,,99,,End of Treatment,,Yes,
CL.ADVS.VISIT,Visit (ADVS),,text,,1,SCREENING 1,,,,Yes,
CL.ADVS.VISIT,Visit (ADVS),,text,,2,SCREENING 2,,,,Yes,
CL.ADVS.VISIT,Visit (ADVS),,text,,3,BASELINE,,,,Yes,
CL.ADVS.VISIT,Visit (ADVS),,text,,4,UNSCHEDULED 3.1,,,,Yes,
CL.ADVS.VISIT,Visit (ADVS),,text,,5,AMBUL ECG PLACEMENT,,,,Yes,
CL.ADVS.VISIT,Visit (ADVS),,text,,6,WEEK 2,,,,Yes,
CL.ADVS.VISIT,Visit (ADVS),,text,,7,WEEK 4,,,,Yes,
CL.ADVS.VISIT,Visit (ADVS),,text,,8,AMBUL ECG REMOVAL,,,,Yes,
CL.ADVS.VISIT,Visit (ADVS),,text,,9,WEEK 6,,,,Yes,
CL.ADVS.VISIT,Visit (ADVS),,text,,10,WEEK 8,,,,Yes,
CL.ADVS.VISIT,Visit (ADVS),,text,,11,WEEK 12,,,,Yes,
CL.ADVS.VISIT,Visit (ADVS),,text,,12,WEEK 16,,,,Yes,
CL.ADVS.VISIT,Visit (ADVS),,text,,13,WEEK 20,,,,Yes,
CL.ADVS.VISIT,Visit (ADVS),,text,,14,WEEK 24,,,,Yes,
CL.ADVS.VISIT,Visit (ADVS),,text,,15,WEEK 26,,,,Yes,
CL.ADVS.VISIT,Visit (ADVS),,text,,16,RETRIEVAL,,,,Yes,
CL.ADVS.VISITNUM,Visit (N) (ADVS),,float,,,1,,SCREENING 1,,Yes,
CL.ADVS.VISITNUM,Visit (N) (ADVS),,float,,,2,,SCREENING 2,,Yes,
CL.ADVS.VISITNUM,Visit (N) (ADVS),,float,,,3,,BASELINE,,Yes,
CL.ADVS.VISITNUM,Visit (N) (ADVS),,float,,,3.1,,UNSCHEDULED 3.1,,Yes,
CL.ADVS.VISITNUM,Visit (N) (ADVS),,float,,,3.5,,AMBUL ECG PLACEMENT,,Yes,
CL.ADVS.VISITNUM,Visit (N) (ADVS),,float,,,4,,WEEK 2,,Yes,
CL.ADVS.VISITNUM,Visit (N) (ADVS),,float,,,5,,WEEK 4,,Yes,
CL.ADVS.VISITNUM,Visit (N) (ADVS),,float,,,6,,AMBUL ECG REMOVAL,,Yes,
CL.ADVS.VISITNUM,Visit (N) (ADVS),,float,,,7,,WEEK 6,,Yes,
CL.ADVS.VISITNUM,Visit (N) (ADVS),,float,,,8,,WEEK 8,,Yes,
CL.ADVS.VISITNUM,Visit (N) (ADVS),,float,,,9,,WEEK 12,,Yes,
CL.ADVS.VISITNUM,Visit (N) (ADVS),,float,,,10,,WEEK 16,,Yes,
CL.ADVS.VISITNUM,Visit (N) (ADVS),,float,,,11,,WEEK 20,,Yes,
CL.ADVS.VISITNUM,Visit (N) (ADVS),,float,,,12,,WEEK 24,,Yes,
CL.ADVS.VISITNUM,Visit (N) (ADVS),,float,,,13,,WEEK 26,,Yes,
CL.ADVS.VISITNUM,Visit (N) (ADVS),,float,,,201,,RETRIEVAL,,Yes,
CL.AECAUS,Causality,,text,,1,NONE,,,,Yes,
CL.AECAUS,Causality,,text,,2,POSSIBLE,,,,Yes,
CL.AECAUS,Causality,,text,,3,PROBABLE,,,,Yes,
CL.AECAUS,Causality,,text,,4,REMOTE,,,,Yes,
CL.AESEV,Severity/Intensity Scale for Adverse Events,C66769,text,,1,MILD,C70666,1; Grade 1,,,STD.SDTM 2020-12-18
CL.AESEV,Severity/Intensity Scale for Adverse Events,C66769,text,,2,MODERATE,C61376,2; Grade 2,,,STD.SDTM 2020-12-18
CL.AESEV,Severity/Intensity Scale for Adverse Events,C66769,text,,3,SEVERE,C41340,3; Grade 3,,,STD.SDTM 2020-12-18
CL.AGEGR1,Age Group 1,,text,,1,<65,,,,Yes,
CL.AGEGR1,Age Group 1,,text,,2,65-80,,,,Yes,
CL.AGEGR1,Age Group 1,,text,,3,>80,,,,Yes,
CL.AGEGR1N,Age Group 1 (N),,integer,,1,1,,<65,,Yes,
CL.AGEGR1N,Age Group 1 (N),,integer,,2,2,,65-80,,Yes,
CL.AGEGR1N,Age Group 1 (N),,integer,,3,3,,>80,,Yes,
CL.AGEU,Age Unit,C66781,text,,1,YEARS,C29848,,,,STD.SDTM 2020-12-18
CL.ARM,Planned Arm,,text,,1,Placebo,,,,Yes,
CL.ARM,Planned Arm,,text,,2,Xanomeline Low Dose,,,,Yes,
CL.ARM,Planned Arm,,text,,3,Xanomeline High Dose,,,,Yes,
CL.ARMN,Planned Arm (N),,integer,,1,0,,Placebo,,Yes,
CL.ARMN,Planned Arm (N),,integer,,2,54,,Xanomeline Low Dose,,Yes,
CL.ARMN,Planned Arm (N),,integer,,3,81,,Xanomeline High Dose,,Yes,
CL.AWU,Analysis Window Unit,,text,,1,DAYS,,DAYS,,Yes,
CL.BMICAT,BMI Category,,text,,1,<25,,Normal,,Yes,
CL.BMICAT,BMI Category,,text,,2,25-<30,,Overweight,,Yes,
CL.BMICAT,BMI Category,,text,,3,>=30,,Obese,,Yes,
CL.CENSOR,Censor,,integer,,1,0,,Event,,Yes,
CL.CENSOR,Censor,,integer,,2,1,,Censored,,Yes,
CL.DATEFL,Date Imputation Flag,C81223,text,,1,D,C81212,Day imputed,,,STD.ADaM 2020-12-18
CL.DATEFL,Date Imputation Flag,C81223,text,,2,M,C81211,Day and Month imputed,,,STD.ADaM 2020-12-18
CL.DATEFL,Date Imputation Flag,C81223,text,,3,Y,C81210,"Date (Day, Month and Year) imputed",,,STD.ADaM 2020-12-18
CL.DISCCD,Standardized Disposition Term,,text,,1,COMPLETED,,,,Yes,
CL.DISCCD,Standardized Disposition Term,,text,,2,ADVERSE EVENT,,,,Yes,
CL.DISCCD,Standardized Disposition Term,,text,,3,DEATH,,,,Yes,
CL.DISCCD,Standardized Disposition Term,,text,,4,LACK OF EFFICACY,,,,Yes,
CL.DISCCD,Standardized Disposition Term,,text,,5,LOST TO FOLLOW-UP,,,,Yes,
CL.DISCCD,Standardized Disposition Term,,text,,6,WITHDRAWAL BY SUBJECT,,,,Yes,
CL.DISCCD,Standardized Disposition Term,,text,,8,STUDY TERMINATED BY SPONSOR,,,,Yes,
CL.DISCCD,Standardized Disposition Term,,text,,9,PHYSICIAN DECISION,,,,Yes,
CL.DISCCD,Standardized Disposition Term,,text,,10,PROTOCOL VIOLATION,,,,Yes,
CL.DISCREAS,Reason for Discontinuation from Study,,text,,1,Completed,,,,Yes,
CL.DISCREAS,Reason for Discontinuation from Study,,text,,2,Adverse Event,,,,Yes,
CL.DISCREAS,Reason for Discontinuation from Study,,text,,3,Death,,,,Yes,
CL.DISCREAS,Reason for Discontinuation from Study,,text,,4,I/E Not Met,,,,Yes,
CL.DISCREAS,Reason for Discontinuation from Study,,text,,5,Lack of Efficacy,,,,Yes,
CL.DISCREAS,Reason for Discontinuation from Study,,text,,6,Lost to Follow-up,,,,Yes,
CL.DISCREAS,Reason for Discontinuation from Study,,text,,7,Physician Decision,,,,Yes,
CL.DISCREAS,Reason for Discontinuation from Study,,text,,8,Protocol Violation,,,,Yes,
CL.DISCREAS,Reason for Discontinuation from Study,,text,,9,Sponsor Decision,,,,Yes,
CL.DISCREAS,Reason for Discontinuation from Study,,text,,10,Withdrew Consent,,,,Yes,
CL.DTYPE,Derivation Type,C81224,text,,1,LOCF,C81198,Last Observation Carried Forward,,,STD.ADaM 2020-12-18
CL.DTYPE,Derivation Type,C81224,text,,2,AVERAGE,C81209,Average,,,STD.ADaM 2020-12-18
CL.DURDISC,Duration of Disease Category,,text,,1,<12,,,,Yes,
CL.DURDISC,Duration of Disease Category,,text,,2,>=12,,,,Yes,
CL.ETHNIC,Ethnicity,,text,,1,NOT HISPANIC OR LATINO,,,,Yes,
CL.ETHNIC,Ethnicity,,text,,2,HISPANIC OR LATINO,,,,Yes,
CL.LBNRIND,Reference Range Indicator,,text,,1,LOW,,,,Yes,
CL.LBNRIND,Reference Range Indicator,,text,,2,NORMAL,,,,Yes,
CL.LBNRIND,Reference Range Indicator,,text,,3,HIGH,,,,Yes,
CL.LBNRIND,Reference Range Indicator,,text,,4,ABNORMAL,,,,Yes,
CL.LNH,Low Normal High,,text,,1,L,,Low,,Yes,
CL.LNH,Low Normal High,,text,,2,N,,Normal,,Yes,
CL.LNH,Low Normal High,,text,,3,H,,High,,Yes,
CL.OUT,Outcome,,text,,1,RECOVERED/RESOLVED,,RECOVERED/RESOLVED,,Yes,
CL.OUT,Outcome,,text,,2,NOT RECOVERED/NOT RESOLVED,,NOT RECOVERED/NOT RESOLVED,,Yes,
CL.OUT,Outcome,,text,,3,FATAL,,FATAL,,Yes,
CL.PARAM_ADLBC,PARAM_ADLBC,,text,,1,Albumin (g/L),,,,Yes,
CL.PARAM_ADLBC,PARAM_ADLBC,,text,,2,Alkaline Phosphatase (U/L),,,,Yes,
CL.PARAM_ADLBC,PARAM_ADLBC,,text,,3,Alanine Aminotransferase (U/L),,,,Yes,
CL.PARAM_ADLBC,PARAM_ADLBC,,text,,4,Aspartate Aminotransferase (U/L),,,,Yes,
CL.PARAM_ADLBC,PARAM_ADLBC,,text,,5,Bilirubin (umol/L),,,,Yes,
CL.PARAM_ADLBC,PARAM_ADLBC,,text,,6,Blood Urea Nitrogen (mmol/L),,,,Yes,
CL.PARAM_ADLBC,PARAM_ADLBC,,text,,7,Calcium (mmol/L),,,,Yes,
CL.PARAM_ADLBC,PARAM_ADLBC,,text,,8,Cholesterol (mmol/L),,,,Yes,
CL.PARAM_ADLBC,PARAM_ADLBC,,text,,9,Creatine Kinase (U/L),,,,Yes,
CL.PARAM_ADLBC,PARAM_ADLBC,,text,,10,Chloride (mmol/L),,,,Yes,
CL.PARAM_ADLBC,PARAM_ADLBC,,text,,11,Creatinine (umol/L),,,,Yes,
